id_publicacion,id_participante,texto_publicacion,sentimiento,sentimiento_manual
EST006_280,EST006,"Son varias man, eso suma",POS,NEU
EST001_1093,EST001,"Yo realmente la gozo, lo que se viene 💀 Wey cuando se de cuenta los de ese grupo",POS,POS
EST002_923,EST002,"Sí María, tiene razón Miguel",POS,POS
EST004_1536,EST004,Buen provecho Óscarito,POS,POS
EST001_267,EST001,Con el de CR es lo mejor. Pero tendríamos que tener el dinero al 100%,POS,POS
EST002_750,EST002,"Ya es hora de dormir muchachos, descansen.",POS,POS
EST001_387,EST001,Así que está bien,POS,POS
EST003_249,EST003,Que lindo el Mickson,POS,POS
EST002_659,EST002,"Está nice, estaría genial usarlo.",POS,POS
EST007_756,EST007,AMEN AMEN AMEN,POS,POS
EST001_002,EST001,"Aún está a tiempo, es rápido el proceso.",POS,POS
EST015_828,EST015,"Es importante que seamos partícipes de este tipo de actividades, nos permitirán crecer tanto de forma técnica a la vez que hacemos networking y nos especializados en las tecnologías de desarrollo del mundo moderno. ¡¡Les estaremos esperando!!",POS,POS
EST001_1486,EST001,Que explica bonito,POS,POS
EST001_545,EST001,"Igual al Ingeniero Elmer le podríamos invitar en otra ocasión, y darle un reconocimiento. El Ingeniero Elmer siempre va a ser de la Familia de IS ❤️",POS,POS
EST004_332,EST004,Nombe 😂😂😂 Dan pena esas cosas 🤣,NEG,NEG
